銘柄コード,銘柄名,終値,移動平均線乖離率25日,移動平均線乖離率75日,PER,PBR,経常成長率,EPS成長率,時価総額,決算発表予定日,経常利益1,経常利益2,経常利益3,EPS1,EPS2,EPS3
4674,クレスコ,"4,890円",2.67%,18.61%,11,1.58,-0.77,5.74,308億円,2020/8/7,"3,658","3,712","3,600",104.5,114.3,116.7
4684,オービック,"22,195円",-20.97%,-25.11%,45.9,6.72,8.44,4.6,"1兆8,077億円",-,"41,927","46,012","49,300",362.3,394.6,395.7
4684,オービック,"3,510円",-2.42%,12.74%,45.9,6.72,8.44,4.6,"1兆8,077億円",-,"41,927","46,012","49,300",362.3,394.6,395.7
4686,ジャストシステム,"1,518円",-16.79%,-23.27%,－,8.78,70.34,49.53,"4,701億円",2020/8/6,"7,694","13,106",－,96.7,144.6,－
4689,Ｚホールディングス,101円,-16.17%,1.43%,－,3.96,9.97,14.97,3兆196億円,-,"123,370","135,676",－,14.7,16.9,－
4739,伊藤忠テクノ,"1,222円",-2.97%,-2.62%,30.1,3.94,10.92,10.52,"9,384億円",2020/8/4,"36,286","41,541","44,600",106.5,123.2,129.8
4755,楽天,"3,085円",-6.01%,-1.16%,－,2.06,-126.94,-122.39,"1兆5,293億円",2020/8/11,"165,423","-44,558",－,105.4,-23.6,－
4776,サイボウズ,"2,984円",-5.17%,-7.88%,111,34.11,41.45,39.13,"1,593億円",2020/8/13,"1,194","1,804","2,378",14.2,22.1,27.1
4816,東映アニメーション,"8,470円",-0.82%,4.82%,34.8,3.24,-18.12,-19.08,"2,503億円",-,"16,265","16,455","10,300",277.9,279.6,171.2
4911,資生堂,"1,690円",-,-,－,4.75,-53.33,-55.03,"2兆1,920億円",2020/8/6,"109,489","108,739","-6,500",153.7,184.2,-55.1
5218,オハラ,"1,814円",-3.38%,-10.22%,－,0.64,-180.52,-370.87,264億円,2020/9/10,"3,705","1,146","-2,200",132.4,19.2,-106.8
5704,ＪＭＣ,"5,740円",5.15%,5.00%,－,1.61,-21.89,-24.09,36.1億円,2020/8/13,338,264,－,41.1,31.2,－
6027,弁護士ドットコム,"4,540円",-5.43%,-10.00%,－,105,-22.7,-22,"2,262億円",-,511,395,－,15,11.7,－
6035,ＩＲジャパン,"3,095円",-4.85%,-0.58%,－,40.69,149.55,150.55,"2,176億円",-,"1,447","3,611",－,54.8,137.3,－
6045,レントラックス,"2,816円",-4.85%,-0.58%,57.4,1.93,-35.92,-30.1,40.7億円,2020/8/14,515,177,166,35.5,7.5,8.9
6058,ベクトル,"2,680円",-7.00%,-1.25%,34.1,2.64,3.11,-840.42,400億円,-,"3,020","3,755","3,075",0.6,-6.7,24.4
6062,チャームケア,"2,900円",12.84%,27.88%,18.7,2.87,27.55,13.1,282億円,2020/8/7,"1,385","1,835","2,250",36,39.4,46
6071,ＩＢＪ,"2,784円",-6.26%,2.52%,－,5.42,59.81,45.83,275億円,2020/8/12,"1,468","2,346",－,26.4,38.5,－
6083,ＥＲＩホールディングス,369円,6.45%,9.24%,28,1.63,-39.53,-45.43,44.6億円,-,845,598,300,68.9,33.7,20.3
6095,メドピア,"2,265円",-7.71%,3.95%,149,16.36,45.29,49.16,778億円,2020/8/13,379,554,800,11.5,21,24.3
6161,エスティック,"1,789円",14.48%,14.21%,－,1.85,0.63,10.32,130億円,-,"1,743","1,754",－,417.7,460.8,－
6184,鎌倉新書,544円,-15.04%,-17.55%,97.7,9.42,-13.35,0.59,322億円,2020/9/10,728,794,510,11.2,16.9,8.5
6196,ストライク,"1,500円",-1.66%,2.85%,54.4,14.07,28.92,36.03,919億円,-,"1,355","1,889","2,237",47.5,69.9,87.3
6197,ソラスト,"3,985円",0.09%,-5.08%,28.9,5.71,3.21,1.96,957億円,2020/8/13,"5,011","5,374","5,330",37.5,50.3,35.1
6199,セラク,452円,0.64%,12.25%,34.3,5.01,23.11,23.77,161億円,-,525,737,780,22.7,32,34.1
6532,ベイカレント,"3,135円",2.49%,22.66%,－,－,81.85,91.96,"1,958億円",-,"4,386","7,976",－,202.7,389.1,－
6533,オーケストラ,"2,887円",15.85%,14.38%,44,11.37,14.73,4.96,163億円,2020/8/14,456,534,600,38.5,31.6,40.4
6539,ＭＳ－Ｊａｐａｎ,"1,942円",1.85%,1.31%,－,2.6,14.29,14.52,204億円,2020/8/5,"1,770","2,023",－,48.2,55.2,－
6544,Ｊエレベータ,"1,495円",10.93%,3.02%,78.8,30.13,24.88,22.5,"1,498億円",-,"2,001","2,703","3,100",31.5,42,46.9
6548,旅工房,586円,1.21%,-10.66%,－,3.13,-56.6,-53.94,47.8億円,-,318,138,－,40.6,18.7,－
6550,Ｆｒｉｎｇｅ８１,"1,582円",-6.36%,-11.44%,－,11.77,-326.54,-445.28,63.8億円,2020/9/11,211,-478,－,26.5,-91.5,－
6552,ＧａｍｅＷｉｔｈ,"3,965円",13.75%,31.97%,－,3.52,-49.44,-68.8,120億円,-,807,408,－,39.1,12.2,－
6555,ＭＳコンサル,"1,019円",-2.84%,-1.25%,37.1,0.86,-56.47,-55.28,25.0億円,-,563,319,97,85.3,50.4,15.3
6579,ログリー,"1,062円",-8.79%,-22.57%,85,2.59,-35.8,-36.1,31.5億円,2020/8/12,160,59,54,58.2,22,19.8
6701,ＮＥＣ,784円,-1.58%,1.01%,16.3,1.61,60.36,67.25,"1兆4,707億円",-,"77,308","123,969",－,154.8,385,330.3
6750,エレコム,"1,547円",-2.71%,-9.16%,22.7,3.45,8.52,9.03,"2,273億円",2020/8/6,"12,074","13,598","14,200",188.1,224.9,221.5
